FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
250107;1300;22,45;
250107;1400;21,6825;
250107;1500;21,8275;
250107;1600;22,02;
250107;1700;22,225;
250107;1800;21,7475;
250107;1900;20,59;
250107;2000;18,6;
250107;2100;17,6675;
250107;2200;16,975;
250107;2300;16,135;
250108;0000;15,6575;
250108;0100;15,37;
250108;0200;14,4625;
250108;0300;14,0475;
250108;0400;13,4875;
250108;0500;12,8825;
250108;0600;13,6275;
250108;0700;15,7475;
250108;0800;17,725;
250108;0900;18,8675;
250108;1000;20,8775;
250108;1100;22,3625;
250108;1200;24,385;
250108;1300;25,93;
250108;1400;26,7725;
250108;1500;25;
250108;1600;25,05;
250108;1700;25,71;
250108;1800;24,8625;
250108;1900;22,9575;
250108;2000;20,96;
250108;2100;20,0025;
250108;2200;19,14;
250108;2300;18,3325;
250109;0000;17,715;
250109;0100;17,1425;
250109;0200;16,65;
250109;0300;16,45;
250109;0400;16,1775;
250109;0500;15,7625;
250109;0600;16,5625;
250109;0700;18,5275;
250109;0800;20,27;
250109;0900;22,635;
250109;1000;24,965;
250109;1100;25,61;
250109;1200;26,1575;
250109;1300;27,1975;
250109;1400;28,5575;
250109;1500;28,4925;
250109;1600;28,0833;
250109;1700;26,5433;
250109;1800;23,865;
250109;1900;21,3175;
250109;2000;18,99;
250109;2100;18,28;
250109;2200;17,4275;
250109;2300;16,69;
250110;0000;16,0425;
250110;0100;15,5675;
250110;0200;15,16;
250110;0300;14,1725;
250110;0400;13,675;
250110;0500;12,9275;
250110;0600;13,8475;
250110;0700;16,61;
250110;0800;18,875;
250110;0900;20,9475;
250110;1000;22,98;
250110;1100;24,74;
250110;1200;26,945;
250110;1300;28,285;
250110;1400;27,685;
250110;1500;28,035;
250110;1600;29,0225;
250110;1700;27,495;
250110;1800;25,7925;
250110;1900;23,6325;
250110;2000;21,235;
250110;2100;20,2325;
250110;2200;18,65;
250110;2300;17,705;
250111;0000;16,67;
250111;0100;15,62;
250111;0200;14,8025;
250111;0300;14,1875;
250111;0400;13,425;
250111;0500;12,8225;
250111;0600;13,585;
250111;0700;15,8575;
250111;0800;19,6775;
250111;0900;22,4125;
