FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
250104;2300;324,496;
250105;0000;68,524;
250105;0100;52,8872;
250105;0200;108,773;
250105;0300;126,643;
250105;0400;118,753;
250105;0500;138,733;
250105;0600;113,228;
250105;0700;198,022;
250105;0800;281,915;
250105;0900;297,535;
250105;1000;318,134;
250105;1100;323,779;
250105;1200;329,608;
250105;1300;326,016;
250105;1400;329,163;
250105;1500;332,511;
250105;1600;336,39;
250105;1700;340,824;
250105;1800;339,647;
250105;1900;318,28;
250105;2000;322,429;
250105;2100;328,805;
250105;2200;327,571;
250105;2300;320,229;
250106;0000;319,436;
250106;0100;331,576;
250106;0200;356,619;
250106;0300;12,6875;
250106;0400;3,51362;
250106;0500;348,042;
250106;0600;349,252;
250106;0700;317,978;
250106;0800;310,696;
250106;0900;316,899;
250106;1000;319,617;
250106;1100;314,426;
250106;1200;310,751;
250106;1300;329,286;
250106;1400;322,224;
250106;1500;319,029;
250106;1600;321,792;
250106;1700;323,464;
250106;1800;329,88;
250106;1900;329,071;
250106;2000;327,143;
250106;2100;341,01;
250106;2200;4,24967;
250106;2300;343,783;
250107;0000;331,445;
250107;0100;309,115;
250107;0200;0;
250107;0300;0;
250107;0400;0;
250107;0500;0;
250107;0600;330,047;
250107;0700;305,911;
250107;0800;306,759;
250107;0900;305,651;
250107;1000;316,611;
250107;1100;331,36;
250107;1200;328,048;
250107;1300;314,34;
250107;1400;320,593;
250107;1500;331,063;
250107;1600;318,762;
250107;1700;289,647;
250107;1800;258,756;
250107;1900;260,591;
250107;2000;181,259;
250107;2100;154,444;
250107;2200;137,574;
250107;2300;135,714;
250108;0000;142,911;
250108;0100;121,891;
250108;0200;83,7117;
250108;0300;82,6237;
250108;0400;72,6443;
250108;0500;87,5593;
250108;0600;170,291;
250108;0700;150,206;
250108;0800;225,12;
250108;0900;295,309;
250108;1000;305,231;
250108;1100;310,089;
250108;1200;302,838;
250108;1300;192,871;
250108;1400;205,711;
250108;1500;241,944;
250108;1600;244,965;
250108;1700;212,372;
250108;1800;209,897;
250108;1900;202,213;
250108;2000;138,276;
250108;2100;136,814;
250108;2200;100,695;
250108;2300;51,4425;
250109;0000;95,7122;
250109;0100;111,339;
250109;0200;107,284;
250109;0300;135,816;
250109;0400;126,75;
250109;0500;158,606;
250109;0600;143,443;
250109;0700;171,59;
250109;0800;189,218;
250109;0900;195,035;
250109;1000;194,943;
250109;1100;280,952;
